go_id	go_term	cluster_id	UMAP_1	UMAP_2	gene_symbol	species	rat_symbol	tox_evidence	tox_papers	tox_organs
GO:0000018	regulation of DNA recombination	31	2.474537	3.013802	IL7R	human				
GO:0000018	regulation of DNA recombination	31	2.474537	3.013802	KPNA1	human				
GO:0000018	regulation of DNA recombination	31	2.474537	3.013802	KPNA2	human				
GO:0000018	regulation of DNA recombination	31	2.474537	3.013802	RTEL1	rat | human	Rtel1			
GO:0000018	regulation of DNA recombination	31	2.474537	3.013802	SMARCAD1	rat | human	Smarcad1			
GO:0000041	transition metal ion transport	23	4.946572	8.264491	Slc11a2	rat	Slc11a2			
GO:0000045	autophagosome assembly	15	6.204746	6.351471	AABR07035428.2	rat	AABR07035428.2			
GO:0000045	autophagosome assembly	15	6.204746	6.351471	AMBRA1	rat | human	Ambra1			
GO:0000045	autophagosome assembly	15	6.204746	6.351471	AP4M1	rat | human	Ap4m1			
GO:0000045	autophagosome assembly	15	6.204746	6.351471	ATG10	rat | human	Atg10			
GO:0000045	autophagosome assembly	15	6.204746	6.351471	ATG101	rat | human	Atg101			
GO:0000045	autophagosome assembly	15	6.204746	6.351471	ATG12	rat | human	Atg12			
GO:0000045	autophagosome assembly	15	6.204746	6.351471	ATG13	rat | human	Atg13			
GO:0000045	autophagosome assembly	15	6.204746	6.351471	ATG14	rat | human	Atg14			
GO:0000045	autophagosome assembly	15	6.204746	6.351471	ATG16L1	rat | human	Atg16l1			
GO:0000045	autophagosome assembly	15	6.204746	6.351471	Atg16l2	rat	Atg16l2			
GO:0000045	autophagosome assembly	15	6.204746	6.351471	ATG2A	rat | human	Atg2a			
GO:0000045	autophagosome assembly	15	6.204746	6.351471	ATG2B	rat | human	Atg2b			
GO:0000045	autophagosome assembly	15	6.204746	6.351471	ATG3	rat | human	Atg3			
GO:0000045	autophagosome assembly	15	6.204746	6.351471	ATG4A	rat | human	Atg4a			
GO:0000045	autophagosome assembly	15	6.204746	6.351471	ATG4B	rat | human	Atg4b			
GO:0000045	autophagosome assembly	15	6.204746	6.351471	ATG4C	rat | human	Atg4c			
GO:0000045	autophagosome assembly	15	6.204746	6.351471	ATG4D	rat | human	Atg4d			
GO:0000045	autophagosome assembly	15	6.204746	6.351471	ATG5	rat | human	Atg5			
GO:0000045	autophagosome assembly	15	6.204746	6.351471	ATG7	rat | human	Atg7			
